# W2 capture COM4  2026-07-05T11:16:58
# firmware (V): V1.07;
11:16:58.661  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:16:58.897  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:16:59.107  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:16:59.302  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:16:59.522  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:16:59.751  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:16:59.973  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:17:00.205  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:00.401  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:00.628  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:00.846  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:01.085  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:01.309  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:01.543  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:17:01.751  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:17:01.974  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:02.184  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:02.392  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:02.612  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:17:02.835  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:03.071  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:03.296  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:17:03.522  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:17:03.772  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:17:04.001  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:04.230  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:04.418  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:17:04.661  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:17:04.897  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:17:05.122  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:05.348  F=F00000D3;  R=R00000D3;  S=S0000;   I=I12120101112;  Ihex=[49 31 32 31 32 30 31 30 31 31 31 32 3B]
11:17:05.585  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:17:05.835  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
11:17:06.045  F=F00000D3;  R=R00000D3;  S=S0000;   I=I22110101112;  Ihex=[49 32 32 31 31 30 31 30 31 31 31 32 3B]
